Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2015,4,Catamarca,15000,6513,14484,4106,1313,39000,1,0.0,80417
2015,4,Chaco,194000,9593,46771,18608,10092,1136,159,0.0,280359
2015,4,Chubut,625000,5774,71881,168000,0,0,0,0.0,870655
2015,4,Córdoba,148000,63746,427471,62989,67151,3336,1088,0.0,773781
2015,4,Corrientes,29000,11248,48104,17877,7569,456000,150,0.0,569948
2015,4,Entre Ríos,2865,18883,104224,33989,13668,399000,163,0.0,572792
2015,4,Formosa,1791,6081,14279,2704,2713,519000,4,0.0,546572
2015,4,Jujuy,2551,8876,21867,5044,1587,0,0,0.0,39925
2015,4,La Pampa,592000,12951,48798,16000,63000,49000,10,0.0,781759
2015,4,La Rioja,10000,3638,9127,2937,1215,2000,3,0.0,28920
2015,4,Mendoza,241000,23000,174719,38000,41000,5000,13,0.0,522732
2015,4,Misiones,959000,9169,51029,17281,13690,675000,52,0.0,1725221
2015,4,Neuquén,1727,2061,89678,455000,7934,9000,175,0.0,565575
2015,4,Río Negro,3282,4473,89062,201000,4024,5000,75,0.0,306916
2015,4,Salta,1122,11387,65677,17139,6507,99000,5,0.0,200837
2015,4,San Juan,9000,386000,55761,0,0,0,2,0.0,450763
2015,4,San Luis,8000,4000,13473,0,0,1000,2,0.0,26475
2015,4,Santa Cruz,188000,26000,32338,3000,0,0,0,0.0,249338
2015,4,Santa Fe,6659,75770,361264,60985,51258,3079,1189,0.0,560204
2015,4,Santiago Del Estero,703000,7836,23074,5669,1856,0,0,0.0,741435
2015,4,Tierra Del Fuego,16000,285000,32662,0,0,0,0,0.0,333662
2015,4,Tucumán,107000,21800,83887,29942,9507,837000,0,0.0,1089136
2015,3,Buenos Aires,8361,107351,2266948,262564,200491,2642,7720,0.0,2856077
2015,3,Capital Federal,2448,49340,942525,159618,175594,2028,10022,0.0,1341575
2015,3,Catamarca,15000,6871,14206,4143,812000,43000,1,0.0,895221
2015,3,Chaco,240000,10353,47131,19016,7498,979000,157,0.0,1303155
2015,3,Chubut,641000,5886,71668,167000,0,0,0,0.0,885554
2015,3,Córdoba,150000,68765,429787,61109,59372,2582,1048,0.0,772663
2015,3,Corrientes,33000,11921,48127,18168,6111,453000,146,0.0,570473
2015,3,Entre Ríos,2863,20385,103990,34788,9924,384000,153,0.0,556103
2015,3,Formosa,1862,6521,14354,2791,1842,379000,2,0.0,406372
2015,3,Jujuy,2549,9278,21588,5169,966000,0,0,0.0,1004584
2015,3,La Pampa,613000,13087,47660,9000,55000,39000,10,0.0,776757
2015,3,La Rioja,10000,3840,9102,2984,832000,0,3,0.0,857929
2015,3,Mendoza,256000,25000,173430,45000,18000,5000,13,0.0,522443
2015,3,Misiones,958000,9809,51234,17367,11654,559000,43,0.0,1607107
2015,3,Neuquén,1733,2124,85044,210000,6599,2000,155,0.0,307655
2015,3,Río Negro,3372,4457,88691,99000,3826,1000,62,0.0,200408
2015,3,Salta,1126,12223,65405,17451,4318,61000,5,0.0,161528
2015,3,San Juan,9000,391000,54963,0,0,0,2,0.0,454965
2015,3,San Luis,9000,4000,13286,0,0,1000,2,0.0,27288
2015,3,Santa Cruz,190000,25000,32266,2000,0,0,0,0.0,249266
2015,3,Santa Fe,6767,80817,363177,59531,42021,2320,1133,0.0,555766
2015,3,Santiago Del Estero,703000,8332,23158,5956,1249,0,0,0.0,741695
2015,3,Tierra Del Fuego,15000,285000,36408,2000,0,0,0,0.0,338408
2015,3,Tucumán,107000,23687,83654,29998,6232,623000,0,0.0,873571
2015,2,Buenos Aires,8714,137189,2299705,243503,159922,2009,6712,0.0,2857754
2015,2,Capital Federal,2493,51799,990112,148569,142976,1482,9258,0.0,1346689
2015,2,Catamarca,15000,7253,14003,3776,593000,37000,1,0.0,670033
2015,2,Chaco,288000,11058,47551,17675,6337,788000,149,0.0,1158770
2015,2,Chubut,656000,6032,55791,168000,0,0,0,0.0,885823
2015,2,Córdoba,156000,72695,434717,54993,46415,1956,903,0.0,767679
2015,2,Corrientes,34000,12542,48015,17184,5039,379000,126,0.0,495906
2015,2,Entre Ríos,2864,21986,104043,32293,7867,354000,136,0.0,523189
2015,2,Formosa,1881,6907,14247,2436,1324,257000,1,0.0,283796
2015,2,Jujuy,2479,9474,20248,4792,730000,0,0,0.0,766993
2015,2,La Pampa,5737,8182,46235,27000,24000,25000,10,0.0,136164
2015,2,La Rioja,10000,4082,9093,2680,641000,0,3,0.0,666858
2015,2,Mendoza,268000,26000,170451,42000,16000,5000,13,0.0,527464
2015,2,Misiones,958000,10360,51671,15022,10072,408000,33,0.0,1453158
2015,2,Neuquén,1755,2348,82727,214000,5168,2000,110,0.0,308108
2015,2,Río Negro,3413,4525,87362,97000,3240,1000,51,0.0,196591
2015,2,Salta,1123,13020,64737,16241,3114,29000,5,0.0,127240
2015,2,San Juan,8000,410000,51568,0,0,0,2,0.0,469570
2015,2,San Luis,9000,4000,13204,0,0,1000,2,0.0,27206
2015,2,Santa Cruz,210000,25000,25519,2000,0,0,0,0.0,262519
2015,2,Santa Fe,6827,86016,364441,53205,33894,1856,1014,0.0,547253
2015,2,Santiago Del Estero,703000,8779,23456,5553,888000,0,0,0.0,1628788
