Provincia,Trimestre,Año,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Total,Porcent_Altas_vel
Tucumán,1,2015,23061,3722,334000,0,578821,62.33066872141819
Tucumán,2,2015,26966,4502,455000,0,702108,69.28677639337538
Tucumán,4,2015,29942,9507,837000,0,1089136,80.47195207944647
Tucumán,3,2015,29998,6232,623000,0,873571,75.4638146183882
Tucumán,1,2016,31490,10046,871000,0,1122636,81.28511823957186
Chubut,3,2014,34000,0,0,0,103065,32.988890505991364
Chubut,4,2014,70000,0,0,0,138468,50.55319640638992
Chubut,1,2015,102000,0,0,0,816509,12.492207679278488
Santa Cruz,2,2016,142000,20000,0,0,463995,34.91416933372127
Chubut,3,2015,167000,0,0,0,885554,18.858251444858247
Chubut,4,2015,168000,0,0,0,870655,19.2958175166972
Chubut,2,2015,168000,0,0,0,885823,18.965414083851968
Santa Cruz,3,2016,221000,52000,9000,0,524904,53.72410955146084
Santa Cruz,4,2016,342000,80000,10000,0,675369,63.965032448927914
Santa Cruz,1,2017,474000,68000,30000,0,816078,70.0913393082524
Santa Cruz,2,2017,541000,66000,33000,0,882913,72.48732321304591
Chubut,3,2016,674000,0,0,0,1219565,55.265606999216935
Chubut,2,2016,775000,0,0,0,1425499,54.366926949790916
Formosa,4,2014,1852,473000,47000,1,545688,95.63211945287416
Formosa,1,2015,2024,878000,157000,1,1060665,97.77120957135382
Formosa,2,2015,2436,1324,257000,1,283796,91.88325416848723
Catamarca,4,2014,2910,421000,0,1,467051,90.76332135034504
Catamarca,1,2015,3202,517000,9000,1,563591,93.89841214639695
Catamarca,2,2015,3776,593000,37000,1,670033,94.58892323213931
Catamarca,4,2015,4106,1313,39000,1,80417,55.23707673750575
Catamarca,3,2015,4143,812000,43000,1,895221,95.97004538544114
La Rioja,1,2018,4217,5831,19000,1,80214,36.21437654274815
Catamarca,1,2016,4241,1334,42000,1,83331,57.09279859836075
Catamarca,2,2016,4567,1496,47000,1,88542,59.93088026021549
Catamarca,2,2017,5325,2342,47000,1,88641,61.67349195067745
Catamarca,3,2017,5758,2563,50000,1,128909,45.242768154279375
Misiones,3,2014,5928,1606,0,1,714682,1.0543150660013825
Jujuy,2,2017,6974,2538,42000,1,395305,13.031203754063316
Mendoza,3,2014,31000,12000,13000,1,258764,21.64172759734739
San Juan,4,2018,180000,312000,1000,1,1182277,41.699280287107
San Juan,3,2018,180000,312000,3000,1,580852,85.21981503033474
Santa Cruz,3,2017,542000,66000,33000,1,881103,72.74983741968873
San Juan,4,2014,0,0,0,2,540630,0.00036993877513271555
San Luis,2,2014,0,0,1000,2,21047,4.760773506913099
San Luis,4,2014,0,0,1000,2,23137,4.330725677486277
San Luis,1,2014,0,1000,0,2,23546,4.255499872589824
San Juan,4,2015,0,0,0,2,450763,0.00044369213977189787
San Juan,3,2015,0,0,0,2,454965,0.00043959425450309364
San Juan,2,2015,0,0,0,2,469570,0.0004259215878356795
San Juan,1,2015,0,0,0,2,504348,0.0003965515873960043
San Luis,4,2015,0,0,1000,2,26475,3.784702549575071
San Luis,2,2015,0,0,1000,2,27206,3.6830111004925383
San Luis,3,2015,0,0,1000,2,27288,3.6719437115215476
San Luis,1,2015,0,1000,0,2,31722,3.158691129184793
San Juan,3,2016,0,0,0,2,311579,0.0006418917834642257
San Juan,1,2016,0,0,0,2,374449,0.0005341181309070128
San Luis,3,2016,0,0,1000,2,26079,3.8421718624180374
San Luis,1,2016,0,0,1000,2,26647,3.760273201486096
San Luis,4,2016,0,0,1000,2,27016,3.708913236600533
San Luis,2,2016,0,0,1000,2,30933,3.239259043739696
San Luis,1,2017,0,0,1000,2,27016,3.708913236600533
San Luis,2,2017,0,0,1000,2,27016,3.708913236600533
San Juan,3,2017,1000,0,2000,2,92661,3.2397664605389536
Formosa,3,2015,2791,1842,379000,2,406372,94.40488025749806
La Rioja,3,2016,3316,1562,11000,2,36915,43.01774346471624
La Rioja,1,2017,3409,1718,22000,2,47193,57.48522026571737
La Rioja,2,2017,3599,1796,24000,2,49255,59.68328088518932
Catamarca,4,2017,5904,2927,43000,2,106481,48.67816793606371
Jujuy,3,2017,7369,2962,41000,2,420891,12.196269342894004
Chaco,4,2014,7908,2600,124000,2,672453,20.00288495998977
San Juan,4,2017,9000,0,2000,2,91589,12.012359562829596
San Luis,1,2018,11000,0,7000,2,197206,9.128525501252497
San Luis,2,2018,11000,0,7000,2,197278,9.125193888826935
Santiago Del Estero,3,2017,18489,3047,30000,2,164261,31.375676514814838
Santiago Del Estero,4,2017,18773,3359,32000,2,141769,38.18465249807786
Santiago Del Estero,1,2018,18914,3449,33000,2,158162,35.00524778391775
Tucumán,2,2016,33891,11310,1032,2,379695,12.176878810624316
San Luis,3,2018,52940,119000,63000,2,422014,55.671612790097015
San Luis,4,2018,53183,119000,62000,2,442984,52.86534050891228
San Luis,1,2019,53214,345000,6000,2,626173,64.55340616730521
San Juan,1,2019,266000,520000,3000,2,1662382,47.46213565835048
La Rioja,4,2014,1943,386000,0,3,411007,94.3891466568696
La Rioja,1,2015,2207,533000,0,3,559790,95.60906768609657
La Rioja,2,2015,2680,641000,0,3,666858,96.52474739749692
La Rioja,4,2015,2937,1215,2000,3,28920,21.282849239280775
