Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2014,4,Formosa,7.31,28.73
2014,4,Jujuy,7.81,30.55
2014,4,La Pampa,21.41,64.99
2014,4,La Rioja,10.74,40.33
2014,4,Mendoza,17.49,62.68
2014,4,Misiones,9.47,34.75
2014,4,Neuquén,15.29,51.34
2014,4,Río Negro,17.80,57.87
2014,4,Salta,10.68,44.08
2014,4,San Juan,12.96,50.88
2014,4,San Luis,10.84,37.88
2014,4,Santa Cruz,13.17,44.26
2014,4,Santa Fe,22.79,72.46
2014,4,Santiago del Estero,7.65,30.81
2014,4,Tierra del Fuego,21.96,74.05
2014,4,Tucumán,13.47,54.39
2015,1,Buenos Aires,28.93,91.61
2015,1,Capital Federal,53.53,128.08
2015,1,Catamarca,9.89,38.89
2015,1,Chaco,9.15,34.24
2015,1,Chubut,18.51,60.38
2015,1,Córdoba,20.51,66.99
2015,1,Corrientes,10.17,38.63
2015,1,Entre Ríos,17.45,58.36
2015,1,Formosa,7.25,28.48
2015,1,Jujuy,7.79,30.45
2015,1,La Pampa,22.47,68.21
2015,1,La Rioja,10.63,39.92
2015,1,Mendoza,18.05,64.69
2015,1,Misiones,9.33,34.25
2015,1,Neuquén,15.58,52.35
2015,1,Río Negro,18.31,59.52
2015,1,Salta,10.62,43.84
2015,1,San Juan,13.36,52.44
2015,1,San Luis,10.97,38.34
2015,1,Santa Cruz,18.17,61.05
2015,1,Santa Fe,22.62,71.94
2015,1,Santiago del Estero,7.58,30.54
2015,1,Tierra del Fuego,22.15,74.68
2015,1,Tucumán,13.38,54.02
2015,2,Buenos Aires,28.03,88.59
2015,2,Capital Federal,54.18,128.99
2015,2,Catamarca,9.87,38.80
2015,2,Chaco,9.13,34.15
2015,2,Chubut,19.01,62.01
2015,2,Córdoba,20.32,66.35
2015,2,Corrientes,10.15,38.54
2015,2,Entre Ríos,17.41,58.21
2015,2,Formosa,7.23,28.40
2015,2,Jujuy,7.76,30.36
2015,2,La Pampa,22.79,69.15
2015,2,La Rioja,10.59,39.78
2015,2,Mendoza,18.60,66.63
2015,2,Misiones,9.30,34.15
2015,2,Neuquén,15.79,53.02
2015,2,Río Negro,18.83,61.20
2015,2,Salta,10.58,43.69
2015,2,San Juan,13.65,53.58
2015,2,San Luis,11.11,38.81
2015,2,Santa Cruz,18.42,61.89
2015,2,Santa Fe,22.52,71.61
2015,2,Santiago del Estero,7.56,30.46
2015,2,Tierra del Fuego,22.50,75.85
2015,2,Tucumán,13.34,53.83
2015,3,Buenos Aires,28.24,89.06
2015,3,Capital Federal,53.27,126.17
2015,3,Catamarca,9.87,38.81
2015,3,Chaco,9.36,35.02
2015,3,Chubut,19.36,63.15
2015,3,Córdoba,20.36,66.50
2015,3,Corrientes,10.34,39.25
2015,3,Entre Ríos,17.77,59.44
2015,3,Formosa,7.21,28.31
2015,3,Jujuy,7.79,30.45
2015,3,La Pampa,22.89,69.47
2015,3,La Rioja,10.49,39.39
2015,3,Mendoza,18.97,67.97
2015,3,Misiones,9.50,34.87
2015,3,Neuquén,15.90,53.41
2015,3,Río Negro,19.11,62.12
2015,3,Salta,10.56,43.59
2015,3,San Juan,13.95,54.77
2015,3,San Luis,11.12,38.84
2015,3,Santa Cruz,18.64,62.62
2015,3,Santa Fe,22.54,71.68
2015,3,Santiago del Estero,7.44,29.97
2015,3,Tierra del Fuego,22.97,77.47
2015,3,Tucumán,13.37,53.98
2015,4,Buenos Aires,28.17,88.65
2015,4,Capital Federal,51.45,121.24
2015,4,Catamarca,9.85,38.74
2015,4,Chaco,9.00,33.67
2015,4,Chubut,19.43,63.37
2015,4,Córdoba,20.13,65.75
2015,4,Corrientes,10.01,38.03
2015,4,Entre Ríos,17.24,57.67
2015,4,Formosa,7.15,28.08
2015,4,Jujuy,7.79,30.45
2015,4,La Pampa,23.15,70.27
2015,4,La Rioja,10.43,39.17
